ITEM CODE,SALE PRICE,,,,,,,,,,,,,,,,,,,,
00297171,15780,,,,,,,,,,,,,,,,,,,,
00297237,21727,,,,,,,,,,,,,,,,,,,,
00297250,37586,,,,,,,,,,,,,,,,,,,,
00297278,19157,,,,,,,,,,,,,,,,,,,,
00297436,3800,,,,,,,,,,,,,,,,,,,,
00297473,2123,,,,,,,,,,,,,,,,,,,,
00351054,3229,,,,,,,,,,,,,,,,,,,,
00297721,3291,,,,,,,,,,,,,,,,,,,,
00297794,1348,,,,,,,,,,,,,,,,,,,,
00297920,1438,,,,,,,,,,,,,,,,,,,,
00297961,4500,,,,,,,,,,,,,,,,,,,,
00297963,4600,,,,,,,,,,,,,,,,,,,,
00297951,4869,,,,,,,,,,,,,,,,,,,,
00298262,9013,,,,,,,,,,,,,,,,,,,,
00298264,5074,,,,,,,,,,,,,,,,,,,,
00349520,6540,,,,,,,,,,,,,,,,,,,,
00399245,6335,,,,,,,,,,,,,,,,,,,,
